Dim-00:TEMPS,Dim-01:TERRITORI,Dim-01:TERRITORI (order),Dim-01:TERRITORI (type),VALUE
2000-01-01T00:00:00Z,"Sants-Montjuïc",3,Districte,6.05453062745298
2000-01-01T00:00:00Z,"Nou Barris",8,Districte,5.40872781252572
2000-01-01T00:00:00Z,"Les Corts",4,Districte,7.59049014559593
2000-01-01T00:00:00Z,"Ciutat Vella",1,Districte,5.52887056854641
2000-01-01T00:00:00Z,"Barcelona",-1,Municipi,5.72980701866069
2000-01-01T00:00:00Z,"Eixample",2,Districte,5.48656437262519
2000-01-01T00:00:00Z,"Sant Andreu",9,Districte,5.46292903478308
2000-01-01T00:00:00Z,"Sant Martí",10,Districte,5.74046905971485
2000-01-01T00:00:00Z,"Les Corts",4,Districte,6.91470536148672
2000-01-01T00:00:00Z,"Sant Martí",10,Districte,5.48467990201242
2000-01-01T00:00:00Z,"Nou Barris",8,Districte,5.32739818392426
2000-01-01T00:00:00Z,"Horta-Guinardó",7,Districte,5.75042272531173
2000-01-01T00:00:00Z,"Barcelona",-1,Municipi,6.00239437396491
2000-01-01T00:00:00Z,"Sant Andreu",9,Districte,5.09723214382211
2000-01-01T00:00:00Z,"Gràcia",6,Districte,6.15204556322154
2000-01-01T00:00:00Z,"Sarrià-Sant Gervasi",5,Districte,7.62599570709267
2000-01-01T00:00:00Z,"Ciutat Vella",1,Districte,4.99875562741946
2000-01-01T00:00:00Z,"Horta-Guinardó",7,Districte,5.48321579309708
2000-01-01T00:00:00Z,"Sants-Montjuïc",3,Districte,5.81010287538485
2000-01-01T00:00:00Z,"Sarrià-Sant Gervasi",5,Districte,7.40303745199043
2000-01-01T00:00:00Z,"Eixample",2,Districte,5.75380651585677
2000-01-01T00:00:00Z,"Gràcia",6,Districte,6.3197849179805
2000-04-01T00:00:00Z,"Sarrià-Sant Gervasi",5,Districte,7.07247305039803
2000-04-01T00:00:00Z,"Sants-Montjuïc",3,Districte,6.30109646432515
2000-04-01T00:00:00Z,"Nou Barris",8,Districte,5.22912444250192
2000-04-01T00:00:00Z,"Sant Andreu",9,Districte,5.31994213718512
2000-04-01T00:00:00Z,"Les Corts",4,Districte,7.38417654065105
2000-04-01T00:00:00Z,"Horta-Guinardó",7,Districte,5.5230451566597
2000-04-01T00:00:00Z,"Eixample",2,Districte,5.67454476450464
2000-04-01T00:00:00Z,"Ciutat Vella",1,Districte,5.40163137035984
