Dim-00:TEMPS,Dim-01:TERRITORI,Dim-01:TERRITORI (order),Dim-01:TERRITORI (type),VALUE
2012-01-01T00:00:00Z,"la Guineueta",48,Barri,1985.71875
2012-01-01T00:00:00Z,"el Congrés i els Indians",62,Barri,2005.26190476191
2012-01-01T00:00:00Z,"la Sagrada Família",6,Barri,2380.41610738255
2012-01-01T00:00:00Z,"la Nova Esquerra de l'Eixample",9,Barri,2767.6
2012-01-01T00:00:00Z,"les Tres Torres",24,Barri,3373.72916666667
2012-01-01T00:00:00Z,"Sant Andreu",60,Barri,2364.75187969925
2012-01-01T00:00:00Z,"Sant Andreu",9,Districte,2271.09090909091
2012-01-01T00:00:00Z,"el Turó de la Peira",46,Barri,1388.46296296296
2012-01-01T00:00:00Z,"Navas",63,Barri,2061.63157894737
2012-01-01T00:00:00Z,"Verdun",51,Barri,1585.86486486486
2012-01-01T00:00:00Z,"Sant Martí de Provençals",72,Barri,1858.60227272727
2012-01-01T00:00:00Z,"Torre Baró",54,Barri,1990.72727272727
2012-01-01T00:00:00Z,"la Sagrera",61,Barri,2337.93846153846
2012-01-01T00:00:00Z,"la Vall d'Hebron",41,Barri,2222.78571428571
2012-01-01T00:00:00Z,"el Fort Pienc",5,Barri,2592.8115942029
2012-01-01T00:00:00Z,"Horta-Guinardó",7,Districte,2214.75783475783
2012-01-01T00:00:00Z,"la Trinitat Nova",53,Barri,1227.57894736842
2012-01-01T00:00:00Z,"Hostafrancs",15,Barri,2450.7
2012-01-01T00:00:00Z,"l'Antiga Esquerra de l'Eixample",8,Barri,2892.82432432432
2012-01-01T00:00:00Z,"Sant Martí de Provençals",72,Barri,2485.0
2012-01-01T00:00:00Z,"Montbau",40,Barri,1919.0
2012-01-01T00:00:00Z,"Sant Antoni",10,Barri,2578.67272727273
2012-01-01T00:00:00Z,"Sant Andreu",9,Districte,2150.99702380952
2012-01-01T00:00:00Z,"la Maternitat i Sant Ramon",20,Barri,2373.04166666667
2012-01-01T00:00:00Z,"Sant Gervasi - Galvany",26,Barri,3522.91803278689
2012-01-01T00:00:00Z,"la Font d'en Fargues",36,Barri,2246.18181818182
2012-01-01T00:00:00Z,"Sants",18,Barri,2051.11570247934
2012-01-01T00:00:00Z,"Sarrià",23,Barri,4053.17741935484
2012-01-01T00:00:00Z,"Sant Martí",10,Districte,2431.74027777778
2012-01-01T00:00:00Z,"Sant Martí",10,Districte,2150.35714285714
2012-01-01T00:00:00Z,"la Sagrada Família",6,Barri,2099.33333333333
2012-01-01T00:00:00Z,"el Clot",65,Barri,2223.1320754717
2012-01-01T00:00:00Z,"la Verneda i la Pau",73,Barri,1658.51282051282
2012-01-01T00:00:00Z,"les Roquetes",50,Barri,1415.69230769231
2012-01-01T00:00:00Z,"la Dreta de l'Eixample",7,Barri,2935.8
2012-01-01T00:00:00Z,"la Prosperitat",52,Barri,1884.98387096774
2012-01-01T00:00:00Z,"la Vila Olímpica del Poblenou",67,Barri,3438.26666666667
2012-01-01T00:00:00Z,"Sant Gervasi - la Bonanova",25,Barri,3024.25471698113
2012-01-01T00:00:00Z,"Sants",18,Barri,2043.16666666667
2012-01-01T00:00:00Z,"l'Antiga Esquerra de l'Eixample",8,Barri,3567.22222222222
2012-01-01T00:00:00Z,"Gràcia",6,Districte,2876.625
2012-01-01T00:00:00Z,"el Bon Pastor",59,Barri,1556.73684210526
2012-01-01T00:00:00Z,"la Marina de Port",13,Barri,1522.81914893617
2012-01-01T00:00:00Z,"Gràcia",6,Districte,2589.84179104478
2012-01-01T00:00:00Z,"Horta",43,Barri,2157.47826086956
2012-01-01T00:00:00Z,"Canyelles",49,Barri,1484.0625
2012-01-01T00:00:00Z,"la Font de la Guatlla",14,Barri,1947.69230769231
2012-01-01T00:00:00Z,"la Teixonera",38,Barri,1730.66666666667
2012-01-01T00:00:00Z,"Provençals del Poblenou",71,Barri,2319.17857142857
2012-01-01T00:00:00Z,"Sarrià-Sant Gervasi",5,Districte,3339.36399217221
2012-01-01T00:00:00Z,"Eixample",2,Districte,2738.31578947368
2012-01-01T00:00:00Z,"el Besòs i el Maresme",70,Barri,1573.42465753425
2012-01-01T00:00:00Z,"Barcelona",-1,Municipi,2460.69307144399
2012-01-01T00:00:00Z,"les Corts",19,Barri,2913.85950413223
2012-01-01T00:00:00Z,"Les Corts",4,Districte,2973.55
2012-01-01T00:00:00Z,"Porta",45,Barri,1837.72857142857
2012-01-01T00:00:00Z,"el Guinardó",35,Barri,2152.10606060606
2012-01-01T00:00:00Z,"Horta-Guinardó",7,Districte,1860.83333333333
2012-01-01T00:00:00Z,"Ciutat Meridiana",55,Barri,1243.33333333333
2012-01-01T00:00:00Z,"la Bordeta",16,Barri,2017.44444444444
2012-01-01T00:00:00Z,"Nou Barris",8,Districte,2166.83333333333
2012-01-01T00:00:00Z,"el Parc i la Llacuna del Poblenou",66,Barri,2425.78260869565
2012-01-01T00:00:00Z,"Sants-Montjuïc",3,Districte,1965.15274949084
2012-01-01T00:00:00Z,"el Camp de l'Arpa del Clot",64,Barri,2340.88888888889
2012-01-01T00:00:00Z,"el Coll",29,Barri,1656.14285714286
2012-01-01T00:00:00Z,"el Raval",1,Barri,2355.375
2012-01-01T00:00:00Z,"la Salut",30,Barri,2668.06451612903
2012-01-01T00:00:00Z,"Can Baró",34,Barri,2279.90476190476
2012-01-01T00:00:00Z,"Eixample",2,Districte,2736.31265822785
2012-01-01T00:00:00Z,"el Poblenou",68,Barri,2648.84112149533
2012-01-01T00:00:00Z,"la Vila de Gràcia",31,Barri,2662.76073619632
2012-01-01T00:00:00Z,"Ciutat Vella",1,Districte,2599.15789473684
2012-01-01T00:00:00Z,"el Baix Guinardó",33,Barri,2772.96470588235
2012-01-01T00:00:00Z,"Sant Pere, Santa Caterina i la Ribera",4,Barri,2789.65873015873
2012-01-01T00:00:00Z,"Nou Barris",8,Districte,1667.78997613365
2012-01-01T00:00:00Z,"el Carmel",37,Barri,1768.28571428571
2012-01-01T00:00:00Z,"Vallvidrera, el Tibidabo i les Planes",22,Barri,2488.66666666667
2012-01-01T00:00:00Z,"el Barri Gòtic",2,Barri,2409.44444444444
2012-01-01T00:00:00Z,"el Poble Sec - AEI Parc de Montjuïc",11,Barri,2116.41441441441
2012-01-01T00:00:00Z,"Barcelona",-1,Municipi,2542.6711409396
2012-01-01T00:00:00Z,"Sants-Montjuïc",3,Districte,2205.5
2012-01-01T00:00:00Z,"Ciutat Vella",1,Districte,2355.40454545455
2012-02-01T00:00:00Z,"el Raval",1,Barri,2265.625
2012-02-01T00:00:00Z,"Horta-Guinardó",7,Districte,2369.86666666667
2012-02-01T00:00:00Z,"Sant Antoni",10,Barri,3032.8
2012-02-01T00:00:00Z,"Barcelona",-1,Municipi,2680.92765957447
2012-02-01T00:00:00Z,"Eixample",2,Districte,2910.62790697674
2012-02-01T00:00:00Z,"el Poblenou",68,Barri,2721.2
2012-02-01T00:00:00Z,"Sant Martí",10,Districte,2978.68
2012-02-01T00:00:00Z,"la Nova Esquerra de l'Eixample",9,Barri,3634.28571428571
2012-02-01T00:00:00Z,"Sant Andreu",60,Barri,2590.27272727273
2012-02-01T00:00:00Z,"la Vila de Gràcia",31,Barri,2387.8
2012-02-01T00:00:00Z,"Gràcia",6,Districte,2528.57142857143
2012-02-01T00:00:00Z,"Sant Gervasi - Galvany",26,Barri,3498.77777777778
2012-02-01T00:00:00Z,"Les Corts",4,Districte,3913.5
2012-02-01T00:00:00Z,"Torre Baró",54,Barri,2136.0
2012-02-01T00:00:00Z,"Sants-Montjuïc",3,Districte,2038.15789473684
2012-02-01T00:00:00Z,"Sant Gervasi - la Bonanova",25,Barri,2541.8
2012-02-01T00:00:00Z,"Ciutat Vella",1,Districte,2595.7619047619
2012-02-01T00:00:00Z,"Sarrià-Sant Gervasi",5,Districte,2835.8085106383
2012-02-01T00:00:00Z,"l'Antiga Esquerra de l'Eixample",8,Barri,2900.92307692308
2012-02-01T00:00:00Z,"la Marina de Port",13,Barri,1916.57142857143
2012-03-01T00:00:00Z,"el Fort Pienc",5,Barri,2560.16666666667
2012-03-01T00:00:00Z,"Eixample",2,Districte,2871.11111111111
2012-03-01T00:00:00Z,"el Raval",1,Barri,1676.46666666667
2012-03-01T00:00:00Z,"Ciutat Vella",1,Districte,2690.70588235294
2012-03-01T00:00:00Z,"la Verneda i la Pau",73,Barri,2513.4
2012-03-01T00:00:00Z,"el Camp de l'Arpa del Clot",64,Barri,2197.5
2012-03-01T00:00:00Z,"Sant Martí",10,Districte,2762.53488372093
2012-03-01T00:00:00Z,"Horta-Guinardó",7,Districte,2112.03846153846
2012-03-01T00:00:00Z,"Sant Andreu",9,Districte,2271.61111111111
2012-03-01T00:00:00Z,"el Poblenou",68,Barri,2658.83333333333
2012-03-01T00:00:00Z,"Nou Barris",8,Districte,1953.90625
2012-03-01T00:00:00Z,"les Tres Torres",24,Barri,3103.8
2012-03-01T00:00:00Z,"el Putxet i el Farró",27,Barri,3435.75
2012-03-01T00:00:00Z,"la Vila de Gràcia",31,Barri,2403.71428571429
2012-03-01T00:00:00Z,"el Guinardó",35,Barri,2227.5
2012-03-01T00:00:00Z,"Sants-Montjuïc",3,Districte,1812.21428571429
2012-03-01T00:00:00Z,"Les Corts",4,Districte,3598.72727272727
2012-03-01T00:00:00Z,"la Marina de Port",13,Barri,1353.18181818182
2012-03-01T00:00:00Z,"el Congrés i els Indians",62,Barri,2373.875
2012-03-01T00:00:00Z,"la Barceloneta",3,Barri,3963.2
2012-03-01T00:00:00Z,"Sant Gervasi - la Bonanova",25,Barri,3550.5
2012-03-01T00:00:00Z,"el Baix Guinardó",33,Barri,2151.75
2012-03-01T00:00:00Z,"Sarrià-Sant Gervasi",5,Districte,3471.97674418605
2012-03-01T00:00:00Z,"la Nova Esquerra de l'Eixample",9,Barri,2886.3125
2012-03-01T00:00:00Z,"Gràcia",6,Districte,2439.86666666667
2012-03-01T00:00:00Z,"la Sagrada Família",6,Barri,2390.55555555556
2012-04-01T00:00:00Z,"el Poblenou",68,Barri,2209.375
2012-04-01T00:00:00Z,"la Prosperitat",52,Barri,2140.33333333333
2012-04-01T00:00:00Z,"Eixample",2,Districte,3050.65957446809
2012-04-01T00:00:00Z,"l'Antiga Esquerra de l'Eixample",8,Barri,3278.16666666667
2012-04-01T00:00:00Z,"Nou Barris",8,Districte,1849.30434782609
2012-04-01T00:00:00Z,"Ciutat Vella",1,Districte,2863.05882352941
2012-04-01T00:00:00Z,"la Dreta de l'Eixample",7,Barri,3364.3
2012-04-01T00:00:00Z,"la Vila de Gràcia",31,Barri,3066.83333333333
2012-04-01T00:00:00Z,"la Sagrera",61,Barri,2148.625
2012-04-01T00:00:00Z,"Sarrià",23,Barri,4864.71428571429
2012-04-01T00:00:00Z,"Sant Martí de Provençals",72,Barri,1788.33333333333
2012-04-01T00:00:00Z,"el Poble Sec - AEI Parc de Montjuïc",11,Barri,2811.0
2012-04-01T00:00:00Z,"Sarrià-Sant Gervasi",5,Districte,4042.38888888889
2012-04-01T00:00:00Z,"Sant Andreu",60,Barri,2484.85714285714
2012-04-01T00:00:00Z,"Sant Andreu",9,Districte,2299.36842105263
2012-04-01T00:00:00Z,"Les Corts",4,Districte,2875.375
2012-04-01T00:00:00Z,"el Putxet i el Farró",27,Barri,2910.0
2012-04-01T00:00:00Z,"la Sagrada Família",6,Barri,2302.8
2012-04-01T00:00:00Z,"el Raval",1,Barri,1879.55555555556
2012-04-01T00:00:00Z,"Sants - Badal",17,Barri,1948.2
2012-04-01T00:00:00Z,"la Maternitat i Sant Ramon",20,Barri,2504.85714285714
2012-05-01T00:00:00Z,"el Besòs i el Maresme",70,Barri,1556.33333333333
2012-05-01T00:00:00Z,"Provençals del Poblenou",71,Barri,3115.66666666667
2012-05-01T00:00:00Z,"Barcelona",-1,Municipi,2532.70666666667
2012-05-01T00:00:00Z,"la Dreta de l'Eixample",7,Barri,3357.0
2012-05-01T00:00:00Z,"el Poble Sec - AEI Parc de Montjuïc",11,Barri,1937.66666666667
2012-05-01T00:00:00Z,"les Corts",19,Barri,3270.75
2012-05-01T00:00:00Z,"la Marina de Port",13,Barri,1035.44444444444
2012-05-01T00:00:00Z,"Sant Gervasi - la Bonanova",25,Barri,3099.16666666667
2012-05-01T00:00:00Z,"Horta-Guinardó",7,Districte,1992.55555555556
2012-05-01T00:00:00Z,"Sants",18,Barri,1946.11111111111
2012-05-01T00:00:00Z,"la Vila Olímpica del Poblenou",67,Barri,3043.6
2012-05-01T00:00:00Z,"Eixample",2,Districte,2947.19047619048
2012-05-01T00:00:00Z,"Sant Pere, Santa Caterina i la Ribera",4,Barri,2918.22222222222
2012-05-01T00:00:00Z,"Sant Antoni",10,Barri,2689.0
2012-05-01T00:00:00Z,"Vilapicina i la Torre Llobeta",44,Barri,2106.66666666667
2012-05-01T00:00:00Z,"Sants - Badal",17,Barri,2221.8
2012-05-01T00:00:00Z,"el Guinardó",35,Barri,1683.4
2012-05-01T00:00:00Z,"Sarrià-Sant Gervasi",5,Districte,3562.0
2012-05-01T00:00:00Z,"Sant Martí",10,Districte,2370.30434782609
2012-05-01T00:00:00Z,"Sant Gervasi - Galvany",26,Barri,3609.66666666667
2012-05-01T00:00:00Z,"les Tres Torres",24,Barri,3958.6
2012-05-01T00:00:00Z,"Sants-Montjuïc",3,Districte,1777.37837837838
2012-05-01T00:00:00Z,"el Camp de l'Arpa del Clot",64,Barri,2368.2
2012-05-01T00:00:00Z,"la Nova Esquerra de l'Eixample",9,Barri,2814.625
2012-05-01T00:00:00Z,"la Verneda i la Pau",73,Barri,1784.71428571429
2012-05-01T00:00:00Z,"Gràcia",6,Districte,2371.72727272727
2012-05-01T00:00:00Z,"la Prosperitat",52,Barri,1848.4
