Dim-00:TEMPS,Dim-01:TERRITORI,Dim-01:TERRITORI (order),Dim-01:TERRITORI (type),Dim-02:TIPUS DE PROPIETAT,VALUE
2012-01-01T00:00:00Z,"Sant Andreu",60,Barri,"Vertical",2345.375
2012-01-01T00:00:00Z,"la Guineueta",48,Barri,"Horitzontal",1985.71875
2012-01-01T00:00:00Z,"Vallcarca i els Penitents",28,Barri,"Horitzontal",2526.375
2012-01-01T00:00:00Z,"Provençals del Poblenou",71,Barri,"Horitzontal",2319.17857142857
2012-01-01T00:00:00Z,"el Camp de l'Arpa del Clot",64,Barri,"Horitzontal",2340.88888888889
2012-01-01T00:00:00Z,"Sant Pere, Santa Caterina i la Ribera",4,Barri,"Horitzontal",2789.65873015873
2012-01-01T00:00:00Z,"Vilapicina i la Torre Llobeta",44,Barri,"Horitzontal",1816.86885245902
2012-01-01T00:00:00Z,"la Font d'en Fargues",36,Barri,"Vertical",2403.0
2012-01-01T00:00:00Z,"la Vila Olímpica del Poblenou",67,Barri,"Horitzontal",3438.26666666667
2012-01-01T00:00:00Z,"Horta-Guinardó",7,Districte,"Horitzontal",1860.83333333333
2012-01-01T00:00:00Z,"la Verneda i la Pau",73,Barri,"Horitzontal",1658.51282051282
2012-01-01T00:00:00Z,"Sarrià",23,Barri,"Vertical",4085.42857142857
2012-01-01T00:00:00Z,"Sants - Badal",17,Barri,"Horitzontal",1932.6875
2012-01-01T00:00:00Z,"el Fort Pienc",5,Barri,"Horitzontal",2592.8115942029
2012-01-01T00:00:00Z,"la Font d'en Fargues",36,Barri,"Horitzontal",2246.18181818182
2012-01-01T00:00:00Z,"la Sagrada Família",6,Barri,"Vertical",1614.0
2012-01-01T00:00:00Z,"les Corts",19,Barri,"Horitzontal",2913.85950413223
2012-01-01T00:00:00Z,"la Sagrera",61,Barri,"Horitzontal",2337.93846153846
2012-01-01T00:00:00Z,"Can Baró",34,Barri,"Horitzontal",2279.90476190476
2012-01-01T00:00:00Z,"Ciutat Meridiana",55,Barri,"Horitzontal",1243.33333333333
2012-01-01T00:00:00Z,"el Poblenou",68,Barri,"Horitzontal",2648.84112149533
2012-01-01T00:00:00Z,"Sant Gervasi - Galvany",26,Barri,"Horitzontal",3522.91803278689
2012-01-01T00:00:00Z,"Eixample",2,Districte,"Horitzontal",2736.31265822785
2012-01-01T00:00:00Z,"la Barceloneta",3,Barri,"Vertical",2142.6
2012-01-01T00:00:00Z,"Gràcia",6,Districte,"Horitzontal",2876.625
2012-01-01T00:00:00Z,"Sarrià-Sant Gervasi",5,Districte,"Vertical",3930.95238095238
2012-01-01T00:00:00Z,"Vallcarca i els Penitents",28,Barri,"Vertical",2999.0
2012-01-01T00:00:00Z,"el Guinardó",35,Barri,"Vertical",2115.14285714286
2012-01-01T00:00:00Z,"les Tres Torres",24,Barri,"Horitzontal",3373.72916666667
2012-01-01T00:00:00Z,"la Nova Esquerra de l'Eixample",9,Barri,"Horitzontal",2739.31868131868
2012-01-01T00:00:00Z,"Eixample",2,Districte,"Horitzontal",2738.31578947368
2012-01-01T00:00:00Z,"Sant Genís dels Agudells",39,Barri,"Horitzontal",2165.91666666667
2012-01-01T00:00:00Z,"Sant Martí de Provençals",72,Barri,"Horitzontal",2485.0
2012-01-01T00:00:00Z,"Ciutat Vella",1,Districte,"Horitzontal",2599.15789473684
2012-01-01T00:00:00Z,"la Prosperitat",52,Barri,"Horitzontal",1884.98387096774
2012-01-01T00:00:00Z,"el Bon Pastor",59,Barri,"Horitzontal",1556.73684210526
2012-01-01T00:00:00Z,"Navas",63,Barri,"Horitzontal",2061.63157894737
2012-01-01T00:00:00Z,"Hostafrancs",15,Barri,"Horitzontal",2450.7
2012-01-01T00:00:00Z,"la Font de la Guatlla",14,Barri,"Horitzontal",1947.69230769231
2012-01-01T00:00:00Z,"Sant Pere, Santa Caterina i la Ribera",4,Barri,"Horitzontal",2739.16666666667
2012-01-01T00:00:00Z,"Les Corts",4,Districte,"Horitzontal",2973.55
2012-01-01T00:00:00Z,"Barcelona",-1,Municipi,"Vertical",2573.56923076923
