Dim-00:TEMPS,Dim-01:TERRITORI,Dim-01:TERRITORI (order),Dim-01:TERRITORI (type),Dim-02:TIPOLOGIA D’ÚS,VALUE
2012-01-01T00:00:00Z,"el Carmel",37,Barri,"Aparcament",4453.0
2012-01-01T00:00:00Z,"la Nova Esquerra de l'Eixample",9,Barri,"Comercial",938.0
2012-01-01T00:00:00Z,"la Marina de Port",13,Barri,"Residencial",7468.0
2012-01-01T00:00:00Z,"Hostafrancs",15,Barri,"No consta",46.0
2012-01-01T00:00:00Z,"la Vila de Gràcia",31,Barri,"Oficina",2404.0
2012-01-01T00:00:00Z,"la Verneda i la Pau",73,Barri,"Aparcament",3416.0
2012-01-01T00:00:00Z,"Sant Andreu",60,Barri,"Residencial",10895.0
2012-01-01T00:00:00Z,"la Font de la Guatlla",14,Barri,"Turístic",165.0
2012-01-01T00:00:00Z,"Navas",63,Barri,"Residencial",5177.0
2012-01-01T00:00:00Z,"Sants",18,Barri,"Residencial",10490.0
2012-01-01T00:00:00Z,"Les Corts",4,Districte,"Residencial",845.0
2012-01-01T00:00:00Z,"Sant Martí",10,Districte,"Industrial",7001.0
2012-01-01T00:00:00Z,"Barcelona",-1,Municipi,"Equipaments",32186.0
2012-01-01T00:00:00Z,"Can Peguera",47,Barri,"Residencial",57.0
2012-01-01T00:00:00Z,"la Dreta de l'Eixample",7,Barri,"Turístic",8588.0
2012-01-01T00:00:00Z,"Sant Andreu",9,Districte,"No consta",21.0
2012-01-01T00:00:00Z,"Barcelona",-1,Municipi,"No consta",70096.0
2012-01-01T00:00:00Z,"Sant Martí",10,Districte,"Equipaments",0.0
2012-01-01T00:00:00Z,"Sant Genís dels Agudells",39,Barri,"Comercial",314.0
2012-01-01T00:00:00Z,"el Congrés i els Indians",62,Barri,"Aparcament",20.0
2012-01-01T00:00:00Z,"Sant Martí",10,Districte,"Solars",8398.0
2012-01-01T00:00:00Z,"Sant Gervasi - la Bonanova",25,Barri,"Residencial",371.0
2012-01-01T00:00:00Z,"el Parc i la Llacuna del Poblenou",66,Barri,"No consta",2032.0
2012-01-01T00:00:00Z,"Sants-Montjuïc",3,Districte,"Comercial",7853.0
