id,nombre,sup_id,sup_nombre,tipo,precio_venta_1y,superficie_venta_1y,elasticidad_1y,precio_alquiler_1y,rentabilidad_1y,grow_acu_alquiler_1y,grow_acu_venta_1y,grow_acu_superficie_venta_1y,precio_venta_5y,superficie_venta_5y,elasticidad_5y,precio_alquiler_5y,rentabilidad_5y,grow_acu_alquiler_5y,grow_acu_venta_5y,grow_acu_superficie_venta_5y,precio_venta_10y,superficie_venta_10y,elasticidad_10y,precio_alquiler_10y,rentabilidad_10y,grow_acu_alquiler_10y,grow_acu_venta_10y,grow_acu_superficie_venta_10y,elasticidad_1y_stars,rentabilidad_1y_stars,grow_acu_alquiler_1y_stars,grow_acu_venta_1y_stars,elasticidad_5y_stars,rentabilidad_5y_stars,grow_acu_alquiler_5y_stars,grow_acu_venta_5y_stars,elasticidad_10y_stars,rentabilidad_10y_stars,grow_acu_alquiler_10y_stars,grow_acu_venta_10y_stars
80101,el raval,80100,ciutat vella,barri,3007.6667,11779.0,-inf,15.84,0.0632,-0.14480654462549455,0.004564684925406318,-0.22583257240321833,3034.1667,2250.1667,0.0482,14.7885,0.0584,-0.14662837419839272,0.13848788333614914,-0.372249783106836,2919.0,5179.4062,0.0378,13.98,0.0575,-0.0235421716165045,0.3742251572649622,9.258819076289528,1,3,2,4,2,3,1,4,3,2,2,3
80102,el barri gotic,80100,ciutat vella,barri,4558.75,9567.3333,0.0257,15.735,0.0414,-0.04839208410636985,0.031391402714932126,-0.7100336121228472,4188.0076,5820.2667,0.0645,14.74,0.0423,-0.1274003855339141,-0.20386344343985124,22.89590749398514,3907.8121,4994.0037,-inf,14.0272,0.0435,-0.06701220559588202,-0.085000590351623,23.549023050724404,1,1,3,4,1,1,1,1,2,1,1,1
80103,la barceloneta,80100,ciutat vella,barri,4195.75,1533.5,-0.1123,20.835,0.0596,-0.14183481933364622,-0.09846368715083799,0.024233001658374824,4032.4939,1655.0667,-0.0169,18.4045,0.0547,-0.13707706111138554,-0.06428439220420207,11.11124595732662,3973.228,1300.9333,-0.0152,18.1042,0.055,-0.04364274900726364,0.03898000963297869,13.939960669466844,1,3,2,2,1,2,1,2,2,2,1,2
80104,"sant pere, santa caterina i la ribera",80100,ciutat vella,barri,4152.8889,3002.8,-0.027,17.635,0.051,-0.11414313688333014,0.02338316631071678,1.3131541077969648,4096.3884,2165.16,0.2279,15.9205,0.0466,-0.03394035939992793,0.16628848047893577,7.318192068436699,3909.6609,6991.2217,0.1209,15.2727,0.0471,0.1594800679017647,0.016374569945478003,11.202659969805913,1,2,2,4,1,2,2,4,2,1,3,2
80205,el fort pienc,80200,eixample,barri,4162.8889,2202.75,0.0935,15.84,0.0457,-0.1163742690058479,0.030418041804180368,-0.16224514861213465,3864.3763,1517.85,0.0849,14.6645,0.0456,-0.0828137748518174,0.027831436583410717,1.46913758006005,3583.3995,1989.925,-0.0156,13.6465,0.0458,0.06280445317387227,0.02187542938573568,10.07662926493844,1,2,2,4,1,2,1,3,2,1,2,2
80206,la sagrada familia,80200,eixample,barri,4317.5556,5415.0,0.0506,17.07,0.0474,-0.13855383240793928,-0.020073636959701394,-0.3976608187134503,3874.602,4169.8333,-inf,15.4105,0.0477,-0.10020097133851336,0.009655885093133618,-0.19228284914592927,3566.301,7821.2778,-inf,14.2075,0.048,0.013607903392064663,0.1509362452459102,8.65190638717314,1,2,2,3,1,2,1,3,2,2,2,2
80207,la dreta de l'eixample,80200,eixample,barri,5951.2222,10470.0,1.0833,16.665,0.0336,-0.11972896519965791,0.07152002560717008,-0.21402158063575386,5362.2444,10723.9667,0.3128,15.1425,0.0339,-0.06329654417815828,0.2418319636173359,8.771999742697043,4939.6389,8513.1833,0.1473,14.2068,0.0346,0.11395567539421088,0.35661811733081605,11.258339054530724,1,1,2,4,1,1,1,4,2,1,2,3
80208,l'antiga esquerra de l'eixample,80200,eixample,barri,5257.0,3653.0,-0.1012,17.155,0.0392,-0.1368008099215389,0.06481669029775167,0.07115172007347467,4723.4667,10348.9,0.0692,15.46,0.0392,-0.04356673276150819,0.1980767807241742,5.96355603868752,4346.5833,7086.05,0.2933,14.3842,0.0398,0.11058250694120814,0.5014717074907998,9.306833975147056,1,1,2,4,1,1,2,4,2,1,2,4
80209,la nova esquerra de l'eixample,80200,eixample,barri,4446.7778,3329.0,-0.2684,17.22,0.0465,-0.12226723251028815,0.04753304541290398,1.148163788788789,4108.6889,3520.15,-0.0476,15.384,0.0449,-0.05079843935107002,0.07243981502228793,1.8833875665820963,3793.0861,5146.1333,-0.9109,14.2812,0.0453,0.12139819391589102,0.017773157585326844,10.423322709183502,1,2,2,4,1,2,2,3,2,1,3,2
80210,sant antoni,80200,eixample,barri,4165.6667,4300.3333,0.0297,16.25,0.0468,-0.14151942293693337,0.003050004013163248,-0.061634121252877865,3958.4636,4980.3958,inf,14.728,0.0446,-0.07143101984053996,0.0052103442557840576,0.886810145245061,3689.4985,6095.4648,inf,13.6888,0.0448,0.067576163358638,0.1984321437088227,7.396825714608367,1,2,2,4,1,2,1,3,2,1,2,2
