link,type_v,address,town,price,price_old,info,description,tags,agent,created,n_hab,sup_m2
/inmueble/106596114/,Piso,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",Ciutat Meridiana - Torre Baró - Vallbona,69.875,,"['2 hab.', '54 m²', 'Planta 5ª exterior sin ascensor']","INMUEBLE SIN POSESION / VIVIENDA OKUPADA!**SOLO PARA INVERSORES****SIN COMISIONES DE AGENCIA INMOBILIARIA**Imposibilidad de visita interior, NO SE PUEDE FINANCIAR la compra de este inmueble.Las fotografías pueden no corresponderse con el estado actual del inmueble.Al tratarse de una compraventa en escritura pú",,,2024-11-20 14:42:36,2,54
/inmueble/106592827/,Piso,"calle del Pare Manjón, La Trinitat Vella, Barcelona",La Trinitat Vella,69.0,,"['3 hab.', '41 m²', 'Planta -1 sin ascensor']","Oportunidad sólo para inversores. El activo se encuentra ocupado por persona sin justo título.Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Piso de 41 m² en venta situado en Barcelona.El piso en venta dispone de 41 m² de superficie distribuidos en salón, cocina, 3 dormitorios y 1 baño",,,2024-11-20 14:42:36,3,41
/inmueble/106590362/,Piso,"calle de Vidal i Guasch, Les Roquetes, Barcelona",Les Roquetes,95.0,,"['2 hab.', '65 m²', 'Planta 1ª exterior sin ascensor']","Housfy vende piso alquilado con una rentabilidad neta anual del 6,58% en Roquetes.La vivienda está actualmente alquilada a un inquilino fiable y cumplidor, con un contrato vigente por 2 años y 9 meses más. Además, la propiedad cuenta con una póliza de seguro de inquilino renovable anualmente, brindando total tranquil",,,2024-11-20 14:42:36,2,65
/inmueble/106586185/,Piso,"calle de Palerm, 6, El Besòs, Barcelona",El Besòs,88.5,,"['3 hab.', '54 m²', 'Planta 2ª interior con ascensor']","Inmueble ocupado ideal para invertir,imposibilidad de realizar visita en el interior del mismo.Este se encuentra en la provincia de barcelona,disponemos de una amplia cartera de inmuebles en toda cataluña.Llamenos para mas informacion.",Ocupada ilegalmente,,2024-11-20 14:42:36,3,54
/inmueble/106585942/,Piso,"calle de Vallcivera, 22, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",Ciutat Meridiana - Torre Baró - Vallbona,95.2,,"['3 hab.', '66 m²', 'Planta 2ª interior con ascensor']","Inmueble ocupado ideal para invertir,imposibilidad de realizar visita en el interior del mismo.Este se encuentra en la provincia de barcelona,disponemos de una amplia cartera de inmuebles en toda cataluña.Llamenos para mas informacion.",Ocupada ilegalmente,,2024-11-20 14:42:36,3,66
/inmueble/106583246/,Piso,"calle de Vila i Vilà, El Poble Sec - Parc de Montjuïc, Barcelona",El Poble Sec - Parc de Montjuïc,60.0,83.8,"['3 hab.', '65 m²', 'Entreplanta exterior con ascensor']",**Más info. en web y redes: BHORUS** Aquí podrás informarte en detalle de la subasta.Bhorus SL es la única empresa a nivel NACIONAL con documentación demostrable en todo tipo de operaciones de subasta.¡Cuidado! Las subastas tienen mucho riesgo si no son analizadas por los profesionales adecuados.Accede a nuestra web,,,2024-11-20 14:42:36,3,65
/inmueble/106577392/,Piso,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",Ciutat Meridiana - Torre Baró - Vallbona,48.0,,"['2 hab.', '60 m²', 'Bajo exterior con ascensor']","LOCAL COMERCIAL PARA REFORMAR COMO VIVIENDAPlanta baja de 58m² ideal para reformar como vivienda tipo loft. LOCAL COMERCIAL SIN CÉDULA DE HABITABILIDAD, con salida de humos.Justo al lado de la salida del metro CAN CUIÀS (L11).En el precio no están incluidos los siguientes gastos: ITP, notario, registro, honorario",,,2024-11-20 14:42:36,2,60
/inmueble/106576974/,Estudio,"Les Roquetes, Barcelona",Les Roquetes,33.0,,"['51 m²', 'Bajo exterior sin ascensor']","Tecnocasa Estudi Mina de la Ciutat S. L tiene el placer de presentarles este inmueble el cual tenemos en exclusiva:DOS ESTUDIOS POR 33.000 CADA UNO, dispone de 51m² de construcción, distribuidos cada uno de ellos de la siguiente manera: Un espacio diáfano tipo loft donde se puede hacer la cocina americana con salón c",,,2024-11-20 14:42:36,,51
/inmueble/102703365/,Piso,"avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",Ciutat Meridiana - Torre Baró - Vallbona,62.0,,"['3 hab.', '56 m²', ' con ascensor']","Vivienda en la calle Rasos de Peguera, de la barriada de San Andrés de Palomar de Barcelona. Tiene una superficie cincuenta y seis metros con sesenta y cuatro decímetros cuadrados, distribuidos en salón-comedor, tres dormitorios, baño completo con bañera y bidet, y cocina. La vivienda cuenta con calefacción individual",,,2024-11-20 14:42:36,3,56
/inmueble/96950602/,Chalet pareado,"calle de Llobera, Les Roquetes, Barcelona",Les Roquetes,85.0,,"['2 hab.', '97 m²']","Casa adosada de 97 m² en venta, situada en Barcelona. Construida en 1958, esta casa adosada dispone de una superficie construida de 97 m², siendo la útil de 60 m² y se distribuye en salón, cocina, 2 dormitorios y 1 baño. La vivienda está muy bien comunicada, próxima a la estación de metro Roquetes, con parada de autobú",,,2024-11-20 14:42:36,2,97
