created,link,type_v,address,town,price,rooms,surface,price_old,info,description,tags,agent
2025-01-18 17:04:16,https://www.idealista.com/inmueble/106590362/,Piso,"calle de Vidal i Guasch, Les Roquetes, Barcelona","calle de Vidal i Guasch, Les Roquetes, Barcelona",95000,2.0,65,,"['2 hab.', '65 m²', 'Planta 1ª exterior sin ascensor']","Housfy vende piso alquilado con una rentabilidad neta anual del 6,58% en Roquetes.La vivienda está actualmente alquilada a un inquilino fiable y cumplidor, con un contrato vigente por 2 años y 9 meses más. Además, la propiedad cuenta con una póliza de seguro de inquilino renovable anualmente, brindando total tranquil",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/106586185/,Piso,"calle de Palerm, 6, El Besòs, Barcelona","calle de Palerm, 6, El Besòs, Barcelona",88500,3.0,54,,"['3 hab.', '54 m²', 'Planta 2ª interior con ascensor']","Inmueble ocupado ideal para invertir,imposibilidad de realizar visita en el interior del mismo.Este se encuentra en la provincia de barcelona,disponemos de una amplia cartera de inmuebles en toda cataluña.Llamenos para mas informacion.",Ocupada ilegalmente,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/106585942/,Piso,"calle de Vallcivera, 22, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de Vallcivera, 22, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",95200,3.0,66,,"['3 hab.', '66 m²', 'Planta 2ª interior con ascensor']","Inmueble ocupado ideal para invertir,imposibilidad de realizar visita en el interior del mismo.Este se encuentra en la provincia de barcelona,disponemos de una amplia cartera de inmuebles en toda cataluña.Llamenos para mas informacion.",Ocupada ilegalmente,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/106583246/,Piso,"calle de Vila i Vilà, El Poble Sec - Parc de Montjuïc, Barcelona","calle de Vila i Vilà, El Poble Sec - Parc de Montjuïc, Barcelona",60000,3.0,65,83800.0,"['3 hab.', '65 m²', 'Entreplanta exterior con ascensor']",**Más info. en web y redes: BHORUS** Aquí podrás informarte en detalle de la subasta.Bhorus SL es la única empresa a nivel NACIONAL con documentación demostrable en todo tipo de operaciones de subasta.¡Cuidado! Las subastas tienen mucho riesgo si no son analizadas por los profesionales adecuados.Accede a nuestra web,,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/106577392/,Piso,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",48000,2.0,60,,"['2 hab.', '60 m²', 'Bajo exterior con ascensor']","LOCAL COMERCIAL PARA REFORMAR COMO VIVIENDAPlanta baja de 58m² ideal para reformar como vivienda tipo loft. LOCAL COMERCIAL SIN CÉDULA DE HABITABILIDAD, con salida de humos.Justo al lado de la salida del metro CAN CUIÀS (L11).En el precio no están incluidos los siguientes gastos: ITP, notario, registro, honorario",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/106576974/,Estudio,"Les Roquetes, Barcelona","Les Roquetes, Barcelona",33000,,51,,"['51 m²', 'Bajo exterior sin ascensor']","Tecnocasa Estudi Mina de la Ciutat S. L tiene el placer de presentarles este inmueble el cual tenemos en exclusiva:DOS ESTUDIOS POR 33.000 CADA UNO, dispone de 51m² de construcción, distribuidos cada uno de ellos de la siguiente manera: Un espacio diáfano tipo loft donde se puede hacer la cocina americana con salón c",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/102703365/,Piso,"avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",62000,3.0,56,,"['3 hab.', '56 m²', ' con ascensor']","Vivienda en la calle Rasos de Peguera, de la barriada de San Andrés de Palomar de Barcelona. Tiene una superficie cincuenta y seis metros con sesenta y cuatro decímetros cuadrados, distribuidos en salón-comedor, tres dormitorios, baño completo con bañera y bidet, y cocina. La vivienda cuenta con calefacción individual",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/96950602/,Chalet pareado,"calle de Llobera, Les Roquetes, Barcelona","calle de Llobera, Les Roquetes, Barcelona",85000,2.0,97,,"['2 hab.', '97 m²']","Casa adosada de 97 m² en venta, situada en Barcelona. Construida en 1958, esta casa adosada dispone de una superficie construida de 97 m², siendo la útil de 60 m² y se distribuye en salón, cocina, 2 dormitorios y 1 baño. La vivienda está muy bien comunicada, próxima a la estación de metro Roquetes, con parada de autobú",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/102978152/,Piso,"via de Bàrcino, La Trinitat Vella, Barcelona","via de Bàrcino, La Trinitat Vella, Barcelona",59300,2.0,43,,"['2 hab.', '43 m²', ' sin ascensor']","Vivienda piso ubicada en la calle Barcino de Barcelona. - El inmueble se encuentra ocupado ilegalmente por terceros y sin los suministros debidamente contratados. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encu",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/102533810/,Piso,"calle de la Cera, El Raval, Barcelona","calle de la Cera, El Raval, Barcelona",71500,2.0,34,,"['2 hab.', '34 m²', 'Planta 3ª sin ascensor']","Piso en la calle de la Cera, Barcelona. Está destinado a vivienda y ocupa una superficie de veintinueve metros, setenta decímetros y medio cuadrados. - El inmueble se encuentra ocupado ilegalmente por terceros y sin los suministros debidamente contratados. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto al",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/102533819/,Piso,"avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",57700,3.0,70,,"['3 hab.', '70 m²', 'Planta 5ª sin ascensor']","Piso en la calle Rasos de Peguera de la barriada de san Andrés de palomar, Barcelona. Tiene una superficie aproximada de 62,70 m2. - El inmueble se encuentra ocupado ilegalmente por terceros y sin los suministros debidamente contratados. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un t",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/104363395/,Piso,"calle d&#039;En Sant Climent, El Raval, Barcelona","calle d&#039;En Sant Climent, El Raval, Barcelona",84100,2.0,55,,"['2 hab.', '55 m²', 'Planta 4ª sin ascensor']","Vivienda situada en Barcelona, con frente a la calle Salvador. De superficie cincuenta y cinco metros cuarenta y cinco decímetros cuadrados. - El inmueble se transmite arrendado a tercero y con un posible derecho de éste a la adquisición preferente del mismo. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/102842179/,Piso,"calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",60000,3.0,49,,"['3 hab.', '49 m²', 'Planta 3ª sin ascensor']","Vivienda piso en un edificio residencial en la ciudad de Barcelona. Tiene una superficie aproximada de 47 m2. y está distribuido en salón-comedor, tres dormitorios, baño completo con bañera y cocina semi-amueblada con muebles altos y bajos lacados en color blanco. La vivienda cuenta con puerta de entrada blindada norma",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/103879319/,Piso,"calle de Joaquín Costa, El Raval, Barcelona","calle de Joaquín Costa, El Raval, Barcelona",78800,1.0,40,,"['1 hab.', '40 m²', 'Planta 5ª sin ascensor']","Este encantador piso de 40m2, ubicado en un histórico edificio del año 1860 de siete plantas, te ofrece la combinación perfecta de tradición y modernidad. Con una distribución inteligente de 33m2 útiles, este hogar cuenta con un dormitorio acogedor y un baño completo, ideal para parejas o profesionales que buscan comod",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/102533814/,Piso,"calle de Perafita, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de Perafita, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",64000,3.0,60,,"['3 hab.', '60 m²', 'Planta 1ª sin ascensor']","Vivienda ubicada en la barriada de Sant Andrés de Palomar de Barcelona, en la calle Perafita. Tiene una superficie edificada de sesenta metros nueve decímetros cuadrados, y útil de cincuenta y dos metros dieciocho decímetros cuadrados. - El inmueble se encuentra ocupado ilegalmente por terceros y sin los suministros de",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/102902348/,Piso,"calle de Travau, Can Peguera - El Turó de la Peira, Barcelona","calle de Travau, Can Peguera - El Turó de la Peira, Barcelona",50800,2.0,34,,"['2 hab.', '34 m²', ' sin ascensor']","Excelente piso de dos dormitorios y un baño. Se encuentra en la planta baja de un edificio residencial de cuatro plantas sobre rasante. Sin ascensor. Situado en el municipio de Barcelona. La vivienda se distribuye en dos dormitorios, amplio salón-comedor, cocina independiente, un cuarto de baño y patio. La superficie c",,
